code,id,name,category,metadata,votes,created_at,updated_at,image,description,vote_target,gender
009e7a4e-756a-478b-94f5-9d10ee5dd1d4,INF-9112,Milly Chebby,Influencer,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Milly Chebby uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact.",10000,male
01825612-2fc3-4057-8ba3-ef8932d6cec2,COM-8018,Mato Comedian,Comedian,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:46:56.595561+00,,"Mato Comedian delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations.",10000,male
025d15de-6194-4e23-bb70-f52fea6160ea,BL-2023,Lucia Musau,Blogger,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Lucia Musau publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life.",10000,male
02eb792c-4ef7-4cff-864b-34e51e935dee,BAM-3011,Kagwe Mungai,Brand Ambassador Of The Year,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:55:36.640725+00,,"Kagwe Mungai has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns.",10000,male
03739667-6204-4330-8caa-363e8762bb88,BL-2025,Jeniffer C. Rono,Blogger,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Jeniffer C. Rono publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life.",10000,male
042228a0-ab2a-4c88-b4ac-c2c5f8fb79c6,COM-8017,Culture Productions,Comedian,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:47:01.162079+00,,"Culture Productions delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations.",10000,male
04975789-c5ea-4cab-9be3-018c237958e3,BAM-3021,Gladys Muthoni Wakirumba,Brand Ambassador Of the Year,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 03:16:40.863438+00,https://cijjwarijqkaihehjskw.supabase.co/storage/v1/object/public/nominee-photos./Gladys%20Muthoni.jpg,"Gladys Muthoni Wakirumba has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns.",10000,male
04f1a1b6-7971-4cd6-82f9-877427d713b4,BL-2008,Diky Sleek,Blogger,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Diky Sleek publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life.",10000,male
051339e7-2804-49c3-bf81-82fa8779469d,INF-9108,Lulu Hassan,Influencer,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Lulu Hassan uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact.",10000,male
058a343b-8b1f-4667-be17-b7e2bcecf815,YLD-6001,Hon. Jalango,Youth Leader,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Hon. Jalango amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation.",10000,male
0701744b-4a81-4bf0-a96e-5be97d49c82b,FBP-9407,Pulse Kenya,Facebook,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 01:10:03.959684+00,,"Pulse Kenya keeps followers updated with timely stories, verified information and active community engagement.",10000,male
0751fea6-f55c-424b-abf6-0151db2ee92f,CTC-4041,Sharnize Actress,Content Creator,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 00:43:45.202976+00,,"Sharnize Actress crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms.",10000,male
0753f24b-7b75-46a5-ab3d-c46ad0dabc84,TTK-9514,Garissa Boys Comedian,Tiktok,{},0,2025-09-01 00:43:45.202976+00,2025-09-01 01:08:39.731878+00,,"Garissa Boys Comedian creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories.",10000,male
