id,name,category,description
PHL-1000,Bishop Benson Kamau,Philanthropist,"Bishop Benson Kamau is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1001,Erick Omondi,Philanthropist,"Erick Omondi is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1002,Jeremy Damaries,Philanthropist,"Jeremy Damaries is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1003,Kennedy Odede,Philanthropist,"Kennedy Odede is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1004,Shofco,Philanthropist,"Shofco is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1005,Dan Wema,Philanthropist,"Dan Wema is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1006,Moses Mwenda,Philanthropist,"Moses Mwenda is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1007,Ndugu Nyoro,Philanthropist,"Ndugu Nyoro is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1008,Gladys Muthoni Kirumba,Philanthropist,"Gladys Muthoni Kirumba is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1009,Dorea Chege,Philanthropist,"Dorea Chege is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1010,Akothee,Philanthropist,"Akothee is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1011,Anita Soina,Philanthropist,"Anita Soina is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1012,Kairetu Jenny,Philanthropist,"Kairetu Jenny is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1013,Vivian Onano,Philanthropist,"Vivian Onano is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1014,Massawe Japanni,Philanthropist,"Massawe Japanni is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
BAM-3000,Eric Omondi,Brand Ambassador,"Eric Omondi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3001,Njugush,Brand Ambassador,"Njugush has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3002,Muthee Ndegenye,Brand Ambassador,"Muthee Ndegenye has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3003,CEO Bruce,Brand Ambassador,"CEO Bruce has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3004,Githua Mani,Brand Ambassador,"Githua Mani has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3005,Mbote Njogu,Brand Ambassador,"Mbote Njogu has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3006,Alfred Koech –sergent,Brand Ambassador,"Alfred Koech –sergent has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3007,Jay Kahiu,Brand Ambassador,"Jay Kahiu has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3008,Roy Kanyi,Brand Ambassador,"Roy Kanyi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3009,Eliud Kipchoge,Brand Ambassador,"Eliud Kipchoge, a global marathon icon, leverages sport and influence to uplift communities and inspire excellence."
BAM-3010,Omanyala,Brand Ambassador,"Omanyala has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3011,Kagwe Mungai,Brand Ambassador,"Kagwe Mungai has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3012,Bradley The Genz,Brand Ambassador,"Bradley The Genz has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3013,DJ Dibul,Brand Ambassador,"DJ Dibul is a standout DJ and culture shaper, known for energetic sets and audience connection."
BAM-3014,Bahati,Brand Ambassador,"Bahati has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3015,Tom Daktari,Brand Ambassador,"Tom Daktari has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3016,Baba Talisha,Brand Ambassador,"Baba Talisha has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3017,Kabugi,Brand Ambassador,"Kabugi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3018,Godana Wako (prince Chaala),Brand Ambassador,"Godana Wako (prince Chaala) has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3019,Cobra Ambuchi,Brand Ambassador,"Cobra Ambuchi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3020,Carol Radull,Brand Ambassador,"Carol Radull has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3021,Gladys Muthoni Wakirumba,Brand Ambassador,"Gladys Muthoni Wakirumba has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
